,Participant id,Image order,Image name,HSP score,HSP class,Income,Valence,Arousal,Time,Selection,Selection interval,Selection hash,Focused on block,Selection count,Gender,Gender code,Age,Ideology,Ideology code,Race,Race code,Nationaly,Nationaly code,Education,Education code,Index
75,139,76,Bricks 1,79,1,0,4,3,27.0,5;2;8;1;0;7;6;3;4,1.5;2;2;2.5;3;3.5;4;4;4.5,2.223873966695092,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,75
76,139,77,Fence 5,79,1,0,4,3,17.0,2;5;8;1;4;7;0;3;6,1;1;1.5;1.5;2;2;2.5;2.5;3,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,76
77,139,78,Motocross 1,79,1,0,5,4,29.0,2;8;5;1;0;3;4;7;6,1;2.5;2.5;3;3.5;3.5;4;4.5;4.5,2.1141810469225897,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,77
78,139,79,Bridge 1,79,1,0,7,6,22.0,2;5;8;1;4;7;0;3;6,1.5;1.5;2;2;2.5;2.5;3;3.5;3.5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,78
79,139,80,Ferret 1,79,1,0,2,3,28.5,0;3;6;1;4;7;8;2;5,2;2;2.5;2.5;3;3;4;4.5;5,2.043648646232159,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,79
80,139,81,Musician 1,79,1,0,5,4,23.0,2;5;8;4;7;1;0;3;6,1;1.5;1.5;2.5;2.5;3;3.5;3.5;4,2.2814357245299672,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,80
81,139,82,Bubble 2,79,1,0,5,4,23.0,0;1;8;7;6;3;4;5;2,1;2;2;2.5;2.5;3;3;3.5;3.5,2.115768723720627,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,81
82,139,83,Fire 8,79,1,0,2,5,19.5,2;5;8;1;4;7;0;3;6,1;1;1.5;2;2;2.5;3;3;3.5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,82
83,139,84,Nature 2,79,1,0,5,4,18.5,2;5;8;1;4;7;0;3;6,1;1;1.5;2;2;2.5;2.5;3;3,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,83
84,139,85,Building 2,79,1,0,4,4,19.5,2;5;8;1;4;7;0;3;6,1;1.5;1.5;2;2;2.5;3;3;3,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,84
85,139,86,Fire hydrant 1,79,1,0,4,3,20.0,2;5;8;1;4;7;0;3;6,1;1.5;1.5;2;2;2.5;3;3;3.5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,85
86,139,87,Neonazi 1,79,1,0,4,3,22.5,2;1;0;3;4;5;8;7;6,1.5;1.5;2;2;2.5;3;3;3.5;3.5,1.7948955742543533,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,86
87,139,88,Bungee jumping 2,79,1,0,5,4,23.0,8;7;6;0;1;2;5;4;3,1.5;1.5;2;2.5;2.5;3;3;3.5;3.5,2.430795344088516,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,87
88,139,89,Fireman 1,79,1,0,4,5,22.0,0;3;6;1;4;7;2;5;8,1.5;1.5;2;2;2.5;2.5;3;3.5;3.5,1.993153392697757,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,88
89,139,90,Neutral face 2,79,1,0,3,2,21.5,2;5;8;1;4;7;0;3;6,1.5;1.5;2;2;2.5;2.5;3;3;3.5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,89
90,139,91,Camping 2,79,1,0,4,3,23.0,0;3;1;4;7;6;2;5;8,1;1.5;2;2;2.5;2.5;3;4;4.5,1.9371751289357881,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,90
91,139,92,Fireworks 6,79,1,0,6,6,19.0,2;5;8;1;0;4;3;7;6,1;1;1.5;2;2;2.5;2.5;3;3.5,2.1200077531255137,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,91
92,139,93,Neutral pose 2,79,1,0,5,4,18.0,8;7;6;0;2;5;3;4;1,1;1;1.5;1.5;2;2;2.5;3;3.5,2.359875835175672,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,92
93,139,94,Candle 1,79,1,0,5,4,15.5,0;3;6;1;4;7;2;5;8,0.5;1;1;1.5;1.5;2;2.5;2.5;3,1.993153392697757,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,93
